location;chrom;start;end;CIRCexplorer2_name;CircBank_Name;S04_P;S05_P;S14_P;S19_P;S16_N;S02_N;S23_N;S07_N
chr1:50956259-51001129;chr1;50956259;51001129;HSA_CIRCpedia_32220;hsa_circFAF1_043;NA;2;6;6;NA;5;NA;NA
chr6:5371384-5431405;chr6;5371384;5431405;hsa-circ-FARS2-overlap.30;NA;NA;NA;1;NA;NA;NA;NA;NA
chr10:75234676-75239275;chr10;75234676;75239275;HSA_CIRCpedia_76330;hsa_circPPP3CB_001;11;1;1;3;1;NA;5;NA
chr14:39623414-39628754;chr14;39623414;39628754;HSA_CIRCpedia_12128;hsa_circTRAPPC6B_003;NA;1;3;3;NA;3;NA;NA
chr4:77051808-77053872;chr4;77051808;77053872;HSA_CIRCpedia_49131;hsa_circNUP54_014;1;NA;1;2;NA;NA;NA;NA
chr5:74981031-74988325;chr5;74981031;74988325;HSA_CIRCpedia_52620;hsa_circPOC5_006;NA;NA;2;NA;NA;1;NA;NA
chr3:196506290-196509704;chr3;196506290;196509704;hsa-circ-PAK2-overlap.1;NA;NA;NA;1;NA;NA;NA;NA;NA
chr7:75141632-75155292;chr7;75141632;75155292;HSA_CIRCpedia_58899;NA;NA;NA;1;NA;NA;NA;NA;NA
chr19:13919649-13920034;chr19;13919649;13920034;HSA_CIRCpedia_24901;hsa_circZSWIM4_003;NA;NA;3;NA;NA;NA;1;NA
chr21:29949540-29998998;chr21;29949540;29998998;HSA_CIRCpedia_96460;hsa_circTCONS_l2_00017186_001;3;4;8;14;NA;3;4;NA
chr4:184605127-184607901;chr4;184605127;184607901;HSA_CIRCpedia_103779;hsa_circC4orf41_015;4;NA;1;3;NA;5;NA;NA
chr21:17172075-17191165;chr21;17172075;17191165;HSA_CIRCpedia_133665;hsa_circUSP25_029;NA;1;5;1;NA;NA;NA;NA
chrX:53431943-53442118;chrX;53431943;53442118;HSA_CIRCpedia_348716;NA;NA;NA;2;NA;NA;2;NA;NA
chr11:92881818-92903387;chr11;92881818;92903387;hsa-circ-SLC36A4-overlap.1;hsa_circSLC36A4_005;NA;NA;3;2;NA;NA;2;NA
chr18:59821777-59830889;chr18;59821777;59830889;HSA_CIRCpedia_88559;hsa_circPIGN_003;NA;NA;1;NA;NA;NA;NA;3
chr6:105280916-105291173;chr6;105280916;105291173;HSA_CIRCpedia_53178;hsa_circHACE1_015;NA;NA;2;NA;NA;1;2;5
chr5:156786012-156788606;chr5;156786012;156788606;HSA_CIRCpedia_50936;hsa_circCYFIP2_033;2;8;4;17;8;2;8;NA
chr2:227771508-227779067;chr2;227771508;227779067;HSA_CIRCpedia_39880;hsa_circRHBDD1_008;7;7;7;9;7;6;18;12
chr4:170384393-170400685;chr4;170384393;170400685;HSA_CIRCpedia_47927;hsa_circNEK1_035;NA;NA;1;NA;NA;NA;NA;NA
chr21:47783394-47801755;chr21;47783394;47801755;HSA_CIRCpedia_35775;hsa_circPCNT_017;NA;NA;1;NA;NA;NA;NA;NA
chr7:115889073-115892530;chr7;115889073;115892530;HSA_CIRCpedia_56360;hsa_circTES_001;5;1;1;4;NA;1;2;1
chr5:70840183-70849147;chr5;70840183;70849147;HSA_CIRCpedia_359702;hsa_circBDP1_059;NA;NA;1;NA;NA;NA;NA;NA
chr7:90001468-90007525;chr7;90001468;90007525;HSA_CIRCpedia_59225;hsa_circGTPBP10_004;NA;NA;1;2;NA;4;6;NA
chrX:41082469-41084390;chrX;41082469;41084390;HSA_CIRCpedia_65848;hsa_circUSP9X_091;4;1;1;NA;NA;NA;NA;NA
chr7:89982129-89984544;chr7;89982129;89984544;HSA_CIRCpedia_132758;hsa_circGTPBP10_001;NA;1;2;NA;NA;NA;NA;NA
chr14:53622960-53656654;chr14;53622960;53656654;hsa_circ_0006378;hsa_circTCONS_l2_00007731_001;5;12;12;12;4;8;6;9
chr1:41474465-41475261;chr1;41474465;41475261;HSA_CIRCpedia_31862;hsa_circCTPS_023;2;9;2;4;1;1;2;NA
chr19:44001269-44002028;chr19;44001269;44002028;HSA_CIRCpedia_26052;NA;2;NA;6;NA;1;NA;4;2
chr2:241555804-241558448;chr2;241555804;241558448;HSA_CIRCpedia_40286;NA;NA;NA;1;NA;NA;NA;NA;NA
chr12:70735886-70740104;chr12;70735886;70740104;HSA_CIRCpedia_9525;hsa_circCNOT2_027;NA;NA;1;1;NA;NA;NA;NA
chr17:80521229-80526077;chr17;80521229;80526077;HSA_CIRCpedia_22884;hsa_circFOXK2_007;9;8;7;4;4;2;6;11
chr14:59757934-59787302;chr14;59757934;59787302;HSA_CIRCpedia_131371;hsa_circDAAM1_005;NA;NA;1;NA;NA;NA;NA;NA
chr5:78734832-78752841;chr5;78734832;78752841;HSA_CIRCpedia_52732;hsa_circHOMER1_004;14;2;5;7;3;6;11;2
chr10:4872866-4951798;chr10;4872866;4951798;hsa_circRNA_404711;hsa_circAKR1E2_012;3;NA;11;9;NA;7;NA;NA
chr3:48964894-48965246;chr3;48964894;48965246;HSA_CIRCpedia_46065;NA;NA;1;2;3;2;NA;1;NA
chr8:22355513-22359826;chr8;22355513;22359826;hsa-circ-PPP3CC-overlap.1;NA;NA;NA;1;NA;1;NA;NA;NA
chr2:197777605-197787849;chr2;197777605;197787849;hsa_circ_0004191;hsa_circPGAP1_001;4;NA;3;2;NA;NA;2;4
chr15:50940883-50955243;chr15;50940883;50955243;HSA_CIRCpedia_14681;hsa_circTRPM7_007;2;5;3;7;NA;NA;5;2
chr11:110134684-110135599;chr11;110134684;110135599;HSA_CIRCpedia_3221;hsa_circRDX_002;NA;4;3;8;1;NA;3;NA
chr8:124371460-124373886;chr8;124371460;124373886;HSA_CIRCpedia_59984;hsa_circATAD2_011;NA;NA;3;2;1;NA;2;NA
chr11:66311174-66311452;chr11;66311174;66311452;HSA_CIRCpedia_5156;NA;NA;NA;1;NA;NA;NA;NA;3
chr5:167915606-167924353;chr5;167915606;167924353;HSA_CIRCpedia_51050;hsa_circRARS_006;22;15;11;20;10;17;18;21
chr3:101383381-101391057;chr3;101383381;101391057;HSA_CIRCpedia_42872;hsa_circZBTB11_003;NA;NA;5;NA;NA;NA;NA;NA
chr9:98740342-98766983;chr9;98740342;98766983;HSA_CIRCpedia_64816;hsa_circ_chr9_00029;24;NA;21;10;7;10;18;13
chr15:44789224-44796048;chr15;44789224;44796048;hsa_circRNA_405331;hsa_circCTDSPL2_019;NA;NA;1;1;NA;NA;NA;NA
chr8:97318671-97343323;chr8;97318671;97343323;HSA_CIRCpedia_61908;hsa_circPTDSS1_020;1;4;5;2;1;NA;NA;2
chr9:86294689-86301070;chr9;86294689;86301070;HSA_CIRCpedia_64536;hsa_circUBQLN1_003;13;8;15;20;15;12;22;6
chr1:44773981-44785416;chr1;44773981;44785416;HSA_CIRCpedia_32020;hsa_circERI3_019;2;NA;4;1;4;NA;NA;NA
chr1:114269039-114281421;chr1;114269039;114281421;HSA_CIRCpedia_27390;hsa_circPHTF1_005;NA;NA;2;1;NA;NA;NA;NA
chr20:49551566-49557470;chr20;49551566;49557470;hsa-circ-DPM1-overlap.7;hsa_circDPM1_010;2;NA;1;NA;NA;NA;NA;NA
chr8:52773420-52773806;chr8;52773420;52773806;HSA_CIRCpedia_61338;hsa_circPCMTD1_003;13;6;8;8;4;4;7;6
chr15:44898222-44912601;chr15;44898222;44912601;HSA_CIRCpedia_14553;hsa_circSPG11_034;NA;NA;1;NA;NA;1;1;1
chr20:3888572-3899443;chr20;3888572;3899443;HSA_CIRCpedia_34203;hsa_circPANK2_006;NA;NA;2;NA;NA;NA;NA;NA
chr4:151656409-151729550;chr4;151656409;151729550;HSA_CIRCpedia_47674;hsa_circLRBA_105;3;2;5;11;4;4;4;4
chr4:106370506-106374799;chr4;106370506;106374799;HSA_CIRCpedia_47052;NA;NA;NA;3;1;1;NA;NA;NA
chr4:128938517-128951827;chr4;128938517;128951827;HSA_CIRCpedia_47399;hsa_circC4orf29_019;1;NA;2;NA;NA;NA;NA;1
chr1:15953163-15964929;chr1;15953163;15964929;HSA_CIRCpedia_28383;NA;NA;NA;1;NA;NA;NA;NA;NA
chr15:76576097-76588078;chr15;76576097;76588078;HSA_CIRCpedia_15748;hsa_circETFA_009;3;2;3;NA;NA;9;3;NA
chr12:69103017-69109520;chr12;69103017;69109520;HSA_CIRCpedia_9437;hsa_circNUP107_018;NA;2;3;NA;NA;NA;5;NA
chr19:14023980-14024451;chr19;14023980;14024451;HSA_CIRCpedia_86567;hsa_circCC2D1A_002;NA;4;1;2;NA;NA;NA;1
chr12:88487546-88500875;chr12;88487546;88500875;HSA_CIRCpedia_375506;NA;NA;NA;1;NA;NA;NA;NA;NA
chr2:24866834-24905997;chr2;24866834;24905997;HSA_CIRCpedia_114070;hsa_circNCOA1_036;NA;1;2;8;NA;NA;2;1
chr19:21216261-21216990;chr19;21216261;21216990;HSA_CIRCpedia_25332;hsa_circZNF430_005;51;56;44;38;24;20;70;31
chr7:8257934-8275635;chr7;8257934;8275635;HSA_CIRCpedia_59126;hsa_circICA1_001;NA;5;2;2;NA;NA;NA;NA
chr17:56772291-56774220;chr17;56772291;56774220;HSA_CIRCpedia_21567;hsa_circRAD51C_002;4;NA;1;NA;NA;1;NA;NA
chr22:46780439-46785396;chr22;46780439;46785396;HSA_CIRCpedia_37071;hsa_circCELSR1_027;NA;1;3;NA;NA;NA;1;NA
chr1:78414839-78428615;chr1;78414839;78428615;HSA_CIRCpedia_32965;NA;NA;NA;1;NA;NA;NA;NA;NA
chr22:24133942-24145609;chr22;24133942;24145609;HSA_CIRCpedia_36097;hsa_circSMARCB1_002;NA;NA;1;NA;NA;NA;NA;NA
chr1:202123618-202124262;chr1;202123618;202124262;hsa-circ-intronic.1737;NA;5;NA;2;12;NA;NA;NA;NA
chr19:21587930-21588658;chr19;21587930;21588658;HSA_CIRCpedia_67807;NA;20;12;27;28;22;30;32;18
chr16:17448955-17451907;chr16;17448955;17451907;hsa_circRNA_405448;hsa_circXYLT1_002;1;NA;1;1;2;NA;NA;NA
chr9:86294689-86297981;chr9;86294689;86297981;HSA_CIRCpedia_64535;hsa_circUBQLN1_011;3;5;6;NA;4;NA;7;2
chr6:90916287-90981660;chr6;90916287;90981660;HSA_CIRCpedia_55851;hsa_circBACH2_004;7;NA;10;16;NA;1;21;NA
chr20:47733662-47741142;chr20;47733662;47741142;HSA_CIRCpedia_68057;NA;NA;NA;1;NA;NA;NA;NA;NA
chr7:105738135-105739728;chr7;105738135;105739728;HSA_CIRCpedia_56231;hsa_circSYPL1_004;13;NA;7;5;1;8;6;6
chr20:50133322-50140649;chr20;50133322;50140649;HSA_CIRCpedia_34725;hsa_circNFATC2_001;1;8;9;5;3;1;13;3
chr2:61749745-61753656;chr2;61749745;61753656;HSA_CIRCpedia_41958;hsa_circXPO1_021;57;28;31;45;14;12;70;33
chr15:67524151-67529158;chr15;67524151;67529158;HSA_CIRCpedia_15384;hsa_circAAGAB_003;9;11;14;24;25;21;16;14
chr6:155108994-155114110;chr6;155108994;155114110;HSA_CIRCpedia_54048;hsa_circSCAF8_032;1;4;6;8;1;5;3;5
chr2:152942081-152942525;chr2;152942081;152942525;hsa-circ-intronic.7609;NA;NA;NA;1;NA;NA;NA;NA;NA
chr7:151181822-151195266;chr7;151181822;151195266;HSA_CIRCpedia_57235;hsa_circRHEB_003;NA;3;5;7;NA;2;3;2
chr11:118890859-118892596;chr11;118890859;118892596;HSA_CIRCpedia_3429;NA;NA;NA;7;NA;1;2;2;3
chr16:53872038-53922863;chr16;53872038;53922863;hsa-circ-FTO-overlap.13;hsa_circFTO_006;NA;NA;1;1;NA;NA;NA;NA
chr12:51467605-51467865;chr12;51467605;51467865;HSA_CIRCpedia_8787;hsa_circCSRNP2_003;3;6;5;3;NA;NA;NA;NA
chr18:9583114-9595100;chr18;9583114;9595100;HSA_CIRCpedia_24493;hsa_circPPP4R1_023;25;18;12;37;9;13;24;24
chr2:201881713-201910316;chr2;201881713;201910316;HSA_CIRCpedia_93305;hsa_circFAM126B_004;NA;NA;1;NA;NA;NA;1;NA
chr2:24205765-24207701;chr2;24205765;24207701;HSA_CIRCpedia_40300;hsa_circUBXN2A_012;NA;3;1;9;5;NA;5;2
chr6:36869996-36870210;chr6;36869996;36870210;HSA_CIRCpedia_54894;hsa_circC6orf89_006;NA;NA;2;NA;NA;NA;1;1
chr3:131186934-131190123;chr3;131186934;131190123;HSA_CIRCpedia_43560;hsa_circMRPL3_004;2;NA;1;NA;NA;NA;NA;NA
chrX:117874979-117895252;chrX;117874979;117895252;HSA_CIRCpedia_126438;NA;NA;NA;2;NA;NA;NA;NA;NA
chr10:112723882-112724819;chr10;112723882;112724819;HSA_CIRCpedia_391;hsa_circSHOC2_006;6;4;3;6;NA;2;2;4
chr1:25568864-25570124;chr1;25568864;25570124;hsa-circ-RSRP1-overlap.1;hsa_circC1orf63_002;NA;NA;1;NA;NA;NA;NA;NA
chr14:76330009-76368567;chr14;76330009;76368567;HSA_CIRCpedia_13151;hsa_circTTLL5_053;3;NA;3;NA;NA;NA;NA;2
chr17:35800605-35804870;chr17;35800605;35804870;HSA_CIRCpedia_20383;hsa_circTADA2A_020;NA;1;1;NA;NA;1;NA;NA
chr17:35800605-35825645;chr17;35800605;35825645;HSA_CIRCpedia_20386;hsa_circTADA2A_023;NA;1;1;NA;NA;NA;1;NA
chr8:67705850-67710860;chr8;67705850;67710860;HSA_CIRCpedia_89342;NA;NA;NA;1;NA;NA;NA;NA;1
chr5:76330242-76335544;chr5;76330242;76335544;HSA_CIRCpedia_101297;hsa_circAGGF1_004;3;3;2;2;1;NA;5;1
chr10:75823443-75834661;chr10;75823443;75834661;hsa-circ-VCL-overlap.1;NA;NA;NA;1;NA;NA;NA;NA;NA
chr1:117939573-117948267;chr1;117939573;117948267;hsa-circ-MAN1A2-overlap.12;NA;1;NA;2;NA;NA;NA;NA;NA
chr1:44750506-44804994;chr1;44750506;44804994;HSA_CIRCpedia_32017;hsa_circERI3_014;NA;NA;3;NA;NA;1;2;NA
chr17:79254408-79258695;chr17;79254408;79258695;HSA_CIRCpedia_22745;hsa_circSLC38A10_006;2;NA;5;3;NA;1;2;NA
chr11:77451775-77458173;chr11;77451775;77458173;HSA_CIRCpedia_5725;hsa_circRSF1_008;NA;NA;1;NA;NA;NA;NA;NA
chr3:178921331-178922376;chr3;178921331;178922376;HSA_CIRCpedia_44515;hsa_circPIK3CA_009;10;NA;4;NA;2;7;13;5
chr13:46090277-46093229;chr13;46090277;46093229;HSA_CIRCpedia_10814;hsa_circCOG3_016;8;3;3;5;5;6;8;8
chr8:124089350-124096580;chr8;124089350;124096580;HSA_CIRCpedia_59944;hsa_circWDR67_003;7;9;6;20;3;3;6;8
chr2:219099074-219104207;chr2;219099074;219104207;HSA_CIRCpedia_135380;hsa_circARPC2_002;NA;NA;2;NA;NA;NA;2;NA
chr4:27009154-27010624;chr4;27009154;27010624;HSA_CIRCpedia_48355;hsa_circSTIM2_005;NA;NA;1;NA;NA;NA;NA;1
chr1:176118141-176145143;chr1;176118141;176145143;HSA_CIRCpedia_28913;hsa_circRFWD2_012;3;NA;3;3;NA;NA;NA;NA
chr1:222889025-222897506;chr1;222889025;222897506;HSA_CIRCpedia_110584;NA;NA;NA;2;1;NA;3;NA;NA
chr1:197611840-197627499;chr1;197611840;197627499;HSA_CIRCpedia_29372;hsa_circDENND1B_019;24;13;15;22;4;14;12;7
chr15:66021409-66048810;chr15;66021409;66048810;HSA_CIRCpedia_15323;hsa_circDENND4A_018;4;NA;2;NA;NA;NA;6;NA
chr19:45924435-45924651;chr19;45924435;45924651;HSA_CIRCpedia_26177;hsa_circERCC1_002;NA;NA;1;NA;NA;NA;NA;1
chr12:70671911-70704797;chr12;70671911;70704797;HSA_CIRCpedia_9505;hsa_circCNOT2_005;9;12;15;NA;15;6;21;5
chr13:51995247-52004519;chr13;51995247;52004519;HSA_CIRCpedia_10925;NA;NA;NA;2;NA;NA;NA;NA;NA
chr7:23643704-23651172;chr7;23643704;23651172;HSA_CIRCpedia_57681;hsa_circCCDC126_003;6;3;6;8;NA;NA;8;3
chr11:60899891-60906307;chr11;60899891;60906307;hsa_circ_0002489;hsa_circVPS37C_004;1;6;1;NA;3;NA;1;1
chr3:33450727-33467233;chr3;33450727;33467233;HSA_CIRCpedia_45386;hsa_circUBP1_011;5;1;2;6;3;1;3;4
chr17:3967654-3970536;chr17;3967654;3970536;HSA_CIRCpedia_20635;hsa_circZZEF1_036;NA;NA;1;NA;NA;NA;NA;NA
chr6:108222573-108246136;chr6;108222573;108246136;HSA_CIRCpedia_53226;hsa_circSEC63_018;NA;3;2;2;1;NA;1;NA
chrX:135814260-135829751;chrX;135814260;135829751;HSA_CIRCpedia_65287;hsa_circARHGEF6_001;NA;4;5;6;NA;NA;NA;NA
chr11:48175347-48181601;chr11;48175347;48181601;HSA_CIRCpedia_73987;NA;NA;NA;1;NA;NA;NA;NA;NA
chr5:60183266-60189470;chr5;60183266;60189470;HSA_CIRCpedia_101076;hsa_circERCC8_012;NA;NA;1;NA;NA;NA;NA;NA
chr10:99196947-99197507;chr10;99196947;99197507;HSA_CIRCpedia_2964;hsa_circEXOSC1_008;7;5;11;12;NA;5;17;3
chr19:10262073-10267185;chr19;10262073;10267185;HSA_CIRCpedia_24537;NA;NA;2;1;2;NA;NA;NA;NA
chr6:111208707-111211559;chr6;111208707;111211559;HSA_CIRCpedia_53313;hsa_circAMD1_005;21;9;6;14;NA;7;11;6
chr5:64747301-64756165;chr5;64747301;64756165;HSA_CIRCpedia_52189;hsa_circADAMTS6_017;NA;NA;1;NA;NA;NA;NA;NA
chr6:52941283-52945896;chr6;52941283;52945896;HSA_CIRCpedia_55271;hsa_circFBXO9_006;NA;3;1;1;NA;NA;NA;NA
chr12:28378727-28544344;chr12;28378727;28544344;HSA_CIRCpedia_70908;NA;1;3;1;3;5;1;4;NA
chr16:71779046-71779517;chr16;71779046;71779517;HSA_CIRCpedia_18622;hsa_circAP1G1_046;1;NA;2;NA;NA;NA;2;NA
chr8:56863017-56866543;chr8;56863017;56866543;HSA_CIRCpedia_61383;hsa_circLYN_007;7;7;1;10;5;NA;9;NA
chr12:56563312-56563992;chr12;56563312;56563992;HSA_CIRCpedia_127424;hsa_circSMARCC2_017;12;7;11;18;2;5;21;6
chr16:4861170-4862249;chr16;4861170;4862249;HSA_CIRCpedia_17760;hsa_circGLYR1_017;NA;3;3;4;2;2;NA;NA
chr2:230723487-230744844;chr2;230723487;230744844;HSA_CIRCpedia_39961;hsa_circTRIP12_004;4;NA;13;7;7;4;5;6
chr15:41988272-41991357;chr15;41988272;41991357;HSA_CIRCpedia_14246;hsa_circMGA_010;10;11;13;10;5;7;12;3
chr17:76082583-76083174;chr17;76082583;76083174;HSA_CIRCpedia_22540;hsa_circTNRC6C_014;1;NA;6;NA;NA;NA;4;NA
chr3:63898263-63898901;chr3;63898263;63898901;HSA_CIRCpedia_46643;hsa_circATXN7_007;20;26;15;14;12;12;7;14
chr13:41410732-41429951;chr13;41410732;41429951;HSA_CIRCpedia_10683;hsa_circLOC100616668_001;4;1;7;8;5;12;7;8
chr10:126631025-126631876;chr10;126631025;126631876;HSA_CIRCpedia_840;hsa_circZRANB1_005;20;26;30;35;13;13;35;19
chr9:128088694-128092497;chr9;128088694;128092497;HSA_CIRCpedia_62813;hsa_circGAPVD1_027;NA;NA;1;NA;NA;NA;1;1
chr1:100459092-100464971;chr1;100459092;100464971;HSA_CIRCpedia_26972;hsa_circSLC35A3_001;NA;2;4;5;NA;NA;NA;5
chr6:20649523-20846409;chr6;20649523;20846409;HSA_CIRCpedia_99175;NA;2;NA;1;NA;NA;NA;NA;NA
chr12:117484363-117486963;chr12;117484363;117486963;HSA_CIRCpedia_365750;NA;NA;NA;1;NA;NA;NA;NA;NA
chr15:59323002-59368414;chr15;59323002;59368414;HSA_CIRCpedia_14915;hsa_circRNF111_007;NA;NA;3;2;NA;NA;NA;NA
chr21:34115558-34123529;chr21;34115558;34123529;HSA_CIRCpedia_35254;hsa_circGCFC1_014;NA;NA;1;NA;NA;NA;NA;NA
chr12:110974728-110983883;chr12;110974728;110983883;hsa-circ-PPTC7-overlap.2;hsa_circPPTC7_006;NA;NA;2;NA;NA;NA;NA;NA
chr2:42488260-42490446;chr2;42488260;42490446;HSA_CIRCpedia_366512;NA;1;NA;1;NA;NA;NA;NA;NA
chr2:215617170-215646233;chr2;215617170;215646233;HSA_CIRCpedia_39559;hsa_circBARD1_019;1;1;2;NA;NA;1;NA;NA
chr2:54122143-54128696;chr2;54122143;54128696;HSA_CIRCpedia_41640;hsa_circPSME4_032;NA;NA;1;NA;NA;NA;3;NA
chr6:90562884-90565263;chr6;90562884;90565263;HSA_CIRCpedia_55841;hsa_circCASP8AP2_007;NA;NA;1;NA;NA;NA;NA;NA
chr15:62299506-62306191;chr15;62299506;62306191;HSA_CIRCpedia_15006;hsa_circVPS13C_022;48;30;14;60;35;35;54;25
chr12:123829804-123834988;chr12;123829804;123834988;HSA_CIRCpedia_7470;hsa_circSBNO1_003;10;3;3;4;2;2;5;1
chr5:78919074-78977884;chr5;78919074;78977884;HSA_CIRCpedia_164515;hsa_circPAPD4_025;NA;NA;1;NA;NA;NA;NA;NA
chr15:64706283-64717830;chr15;64706283;64717830;HSA_CIRCpedia_15163;hsa_circTRIP4_010;NA;NA;1;NA;NA;NA;NA;NA
chr18:56363597-56367823;chr18;56363597;56367823;HSA_CIRCpedia_24099;hsa_circMALT1_003;21;5;16;13;13;5;27;6
chr17:73238416-73239651;chr17;73238416;73239651;HSA_CIRCpedia_22350;hsa_circGGA3_008;31;19;12;25;NA;17;15;10
chr4:89396991-89400658;chr4;89396991;89400658;HSA_CIRCpedia_49567;hsa_circHERC5_006;NA;2;4;1;NA;NA;NA;NA
chr21:17183455-17199522;chr21;17183455;17199522;HSA_CIRCpedia_96436;NA;NA;NA;1;NA;NA;NA;NA;NA
chr10:32759991-32762951;chr10;32759991;32762951;HSA_CIRCpedia_75982;hsa_circCCDC7_013;5;NA;3;3;NA;NA;5;2
chr10:105197771-105198565;chr10;105197771;105198565;HSA_CIRCpedia_308;hsa_circPDCD11_046;20;9;7;13;11;9;23;5
chrX:149895686-149905920;chrX;149895686;149905920;HSA_CIRCpedia_65347;hsa_circMTMR1_006;NA;NA;2;NA;1;NA;6;1
chr2:242186166-242189395;chr2;242186166;242189395;HSA_CIRCpedia_150718;hsa_circHDLBP_025;NA;NA;1;NA;NA;NA;NA;NA
chr4:103225473-103246155;chr4;103225473;103246155;hsa-circ-SLC39A8-overlap.2;hsa_circSLC39A8_003;2;NA;1;NA;NA;NA;1;NA
chr22:47370185-47374830;chr22;47370185;47374830;hsa-circ-TBC1D22A-overlap.1;hsa_circTBC1D22A_023;7;NA;5;1;1;4;4;8
chr14:23378691-23380612;chr14;23378691;23380612;HSA_CIRCpedia_11721;hsa_circRBM23_004;103;53;62;103;37;20;135;53
chr9:123924133-123928458;chr9;123924133;123928458;HSA_CIRCpedia_62562;hsa_circCNTRL_024;74;41;45;65;35;54;63;39
chr10:126727565-126799662;chr10;126727565;126799662;HSA_CIRCpedia_853;hsa_circCTBP2_010;2;7;3;13;NA;10;6;3
chr9:37126308-37127260;chr9;37126308;37127260;hsa_circRNA_407176;hsa_circZCCHC7_007;15;7;8;13;7;3;22;4
chr5:43655941-43677908;chr5;43655941;43677908;HSA_CIRCpedia_101008;hsa_circNNT_030;NA;NA;1;NA;NA;NA;NA;NA
chr2:61721028-61724142;chr2;61721028;61724142;HSA_CIRCpedia_41936;hsa_circXPO1_071;NA;2;3;5;NA;NA;7;NA
chr13:43491676-43544806;chr13;43491676;43544806;HSA_CIRCpedia_70001;hsa_circEPSTI1_002;3;4;14;13;2;NA;7;2
chr3:149540304-149639014;chr3;149540304;149639014;hsa-circ-RNF13-overlap.5;NA;NA;3;3;NA;NA;1;NA;NA
chr18:23637552-23664139;chr18;23637552;23664139;HSA_CIRCpedia_67882;hsa_circSS18_006;NA;NA;1;NA;NA;NA;NA;NA
chr14:64465631-64489581;chr14;64465631;64489581;HSA_CIRCpedia_12624;hsa_circSYNE2_025;3;4;7;8;5;2;4;NA
chr1:207989273-207990759;chr1;207989273;207990759;HSA_CIRCpedia_29715;hsa_circ_chr1_00067;2;4;10;12;6;5;3;1
chr6:38754540-38759450;chr6;38754540;38759450;HSA_CIRCpedia_360363;NA;NA;NA;1;NA;NA;NA;NA;NA
chr8:132962215-132968152;chr8;132962215;132968152;HSA_CIRCpedia_60112;hsa_circEFR3A_023;1;NA;2;1;3;2;NA;NA
chr17:27778472-27778698;chr17;27778472;27778698;HSA_CIRCpedia_19926;hsa_circTAOK1_003;NA;4;2;7;NA;NA;NA;2
chr3:71739160-71759635;chr3;71739160;71759635;HSA_CIRCpedia_46761;hsa_circEIF4E3_007;37;28;20;39;10;35;36;13
chr17:67270083-67280213;chr17;67270083;67280213;HSA_CIRCpedia_22236;hsa_circABCA5_011;2;3;2;NA;2;NA;6;NA
chr19:18650180-18650530;chr19;18650180;18650530;HSA_CIRCpedia_25189;hsa_circFKBP8_005;44;24;54;48;14;26;54;21
chr6:76331247-76343442;chr6;76331247;76343442;HSA_CIRCpedia_359872;NA;NA;NA;1;NA;NA;NA;NA;NA
chr15:60792090-60803820;chr15;60792090;60803820;HSA_CIRCpedia_14997;hsa_circRORA_023;NA;NA;2;NA;NA;NA;NA;NA
chr10:124799981-124800895;chr10;124799981;124800895;HSA_CIRCpedia_803;hsa_circACADSB_005;NA;NA;1;NA;NA;NA;NA;NA
chr1:21076215-21100103;chr1;21076215;21100103;HSA_CIRCpedia_29765;hsa_circHP1BP3_029;8;5;8;14;9;6;14;NA
chr2:234296902-234299129;chr2;234296902;234299129;HSA_CIRCpedia_40076;hsa_circDGKD_005;28;32;23;38;27;16;34;19
chr5:170588410-170610434;chr5;170588410;170610434;HSA_CIRCpedia_102246;NA;NA;NA;2;NA;NA;NA;NA;NA
chr1:117921281-117963271;chr1;117921281;117963271;hsa-circ-MAN1A2-overlap.11;hsa_circMAN1A2_003;NA;NA;2;NA;NA;NA;NA;NA
chr1:33413822-33415375;chr1;33413822;33415375;HSA_CIRCpedia_31473;hsa_circRNF19B_003;16;47;16;32;8;28;28;13
chr16:57099123-57101740;chr16;57099123;57101740;HSA_CIRCpedia_17977;NA;1;2;2;NA;NA;NA;NA;NA
chr9:88233897-88248289;chr9;88233897;88248289;HSA_CIRCpedia_64566;hsa_circAGTPBP1_058;51;83;48;98;42;47;59;59
chr8:71078800-71087094;chr8;71078800;71087094;HSA_CIRCpedia_61631;hsa_circNCOA2_010;NA;NA;2;NA;NA;NA;NA;NA
chrX:147743428-147744289;chrX;147743428;147744289;HSA_CIRCpedia_65321;hsa_circAFF2_005;14;13;10;33;8;7;13;12
chr12:97328753-97339627;chr12;97328753;97339627;HSA_CIRCpedia_9907;hsa_circNEDD1_012;1;3;1;NA;1;2;2;2
chr6:35586872-35610620;chr6;35586872;35610620;HSA_CIRCpedia_54850;hsa_circFKBP5_004;4;13;5;7;2;12;4;1
chr8:17123415-17143936;chr8;17123415;17143936;HSA_CIRCpedia_60443;hsa_circVPS37A_003;4;2;5;10;1;4;4;1
chr1:114362198-114377061;chr1;114362198;114377061;HSA_CIRCpedia_346462;NA;NA;NA;3;NA;3;NA;NA;1
chr8:18656804-18662408;chr8;18656804;18662408;HSA_CIRCpedia_60521;hsa_circPSD3_017;NA;2;1;3;NA;NA;1;2
chr5:109117096-109125228;chr5;109117096;109125228;HSA_CIRCpedia_49811;hsa_circMAN2A1_038;4;1;1;7;NA;NA;4;4
chr1:233334684-233372726;chr1;233334684;233372726;HSA_CIRCpedia_30593;hsa_circPCNXL2_037;4;NA;3;6;NA;3;5;NA
